raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,calificacion_popular,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida
Afghan Hound,hound,24077,11.92,0,890,710,1,1,88.0,large,25.0,66,Lowest,80-100,<25,none,none,mid-price,450,1000,"7,260","12,468"
Newfoundland,working,19351,9.32,2,1178,710,2,1,43.0,large,57.0,69,Above average,15-25,>70,"hip problems, heart defects","subaortic stenosis, hip dysplasia",mid-price,500,2000,"5,677","9,748"
German Shepherd,herding,17416,9.73,8,820,466,2,2,2.0,large,20.35,61,Brightest,<5,>95,"nerves, pancreas, blood (hemophilia), hip joints","Degenerative myelopathy (nerve disorder), Exocrine pancreatic insufficiency, Hemophilia, Hip dysplasia, Renal cystadenocarcinoma and nodular dermatofibrosis, Pannus - chronic superficial keratitis, Panosteitis, Perianal fistula

",mid-price,400,1495,"3,895","10,177"
Pekingese,toy,20565,11.56,1,885,466,1,2,64.0,small,6.0,no data,Lowest,80-100,<25,knee problems,Patellar luxation,mid-price,200,3800,"4,627","12,091"
Old English Sheepdog,herding,22611,11.19,1,832,710,1,1,84.0,medium,20.35,56,Fair,40-80,>30,hip problems,hip dysplasia,mid-price,500,1000,"6,816","11,704"
Akita,working,20994,10.16,1,1202,710,2,3,47.0,large,20.35,66,Average,25-40,>50,hip problems,hip dysplasia,mid-price,565,1800,"6,188","10,627"
Rhodesian Ridgeback,hound,16530,9.1,2,995,466,2,2,44.0,large,35.0,65,Average,25-40,>50,"birth defects, hip problems","dermoid sinus, Hip dysplasia",mid-price,750,1300,"3,642","9,518"
French Bulldog,non-sporting,17266,9.0,0,1900,466,2,1,18.0,medium,12.0,no data,Fair,40-80,>30,none,none,high-end,1300,3500,"3,602","9,414"
Borzoi,hound,16176,9.08,0,675,466,1,2,102.0,large,37.0,71,Lowest,80-100,<25,none,none,budget,300,1250,"3,634","9,497"
Bernese Mountain Dog,working,16099,7.56,4,1320,710,2,1,34.0,large,20.35,64,Excellent,5-15,>85,"meningitis, elbow + hip problems, complex immune disorder","Meningitis, Elbow dysplasia - OCD of the elbow, Hip dysplasia, Histiocytosis",mid-price,750,2500,"4,605","7,907"
